folder,name,png,webp,left,top,right,bottom,width,height
03_banner_utama,banner_rumah_dan_tanaman,03_banner_utama/banner_rumah_dan_tanaman.png,03_banner_utama/banner_rumah_dan_tanaman.webp,462,661,873,831,411,170
03_banner_transparan,banner_icon_petir_transparan,03_banner_transparan/banner_icon_petir_transparan.png,03_banner_transparan/banner_icon_petir_transparan.webp,500,594,640,720,140,126
10_icon_256,banner_icon_petir_256,10_icon_256/banner_icon_petir_256.png,10_icon_256/banner_icon_petir_256.webp,,,,,256,256
04_layanan,header_layanan_favorit,04_layanan/header_layanan_favorit.png,04_layanan/header_layanan_favorit.webp,61,874,887,919,826,45
04_layanan_tiles,pulsa_data_tile,04_layanan_tiles/pulsa_data_tile.png,04_layanan_tiles/pulsa_data_tile.webp,53,921,181,1053,128,132
05_layanan_icons,pulsa_data_icon,05_layanan_icons/pulsa_data_icon.png,05_layanan_icons/pulsa_data_icon.webp,80,938,151,1008,71,70
10_icon_256,pulsa_data_icon_256,10_icon_256/pulsa_data_icon_256.png,10_icon_256/pulsa_data_icon_256.webp,,,,,256,256
04_layanan_tiles,token_listrik_tile,04_layanan_tiles/token_listrik_tile.png,04_layanan_tiles/token_listrik_tile.webp,192,921,319,1053,127,132
05_layanan_icons,token_listrik_icon,05_layanan_icons/token_listrik_icon.png,05_layanan_icons/token_listrik_icon.webp,220,938,290,1008,70,70
10_icon_256,token_listrik_icon_256,10_icon_256/token_listrik_icon_256.png,10_icon_256/token_listrik_icon_256.webp,,,,,256,256
04_layanan_tiles,e_wallet_tile,04_layanan_tiles/e_wallet_tile.png,04_layanan_tiles/e_wallet_tile.webp,331,921,459,1053,128,132
05_layanan_icons,e_wallet_icon,05_layanan_icons/e_wallet_icon.png,05_layanan_icons/e_wallet_icon.webp,359,938,430,1008,71,70
10_icon_256,e_wallet_icon_256,10_icon_256/e_wallet_icon_256.png,10_icon_256/e_wallet_icon_256.webp,,,,,256,256
04_layanan_tiles,tagihan_tile,04_layanan_tiles/tagihan_tile.png,04_layanan_tiles/tagihan_tile.webp,471,921,599,1053,128,132
05_layanan_icons,tagihan_icon,05_layanan_icons/tagihan_icon.png,05_layanan_icons/tagihan_icon.webp,500,938,569,1008,69,70
10_icon_256,tagihan_icon_256,10_icon_256/tagihan_icon_256.png,10_icon_256/tagihan_icon_256.webp,,,,,256,256
04_layanan_tiles,paket_internet_tile,04_layanan_tiles/paket_internet_tile.png,04_layanan_tiles/paket_internet_tile.webp,610,921,738,1053,128,132
05_layanan_icons,paket_internet_icon,05_layanan_icons/paket_internet_icon.png,05_layanan_icons/paket_internet_icon.webp,638,938,709,1008,71,70
10_icon_256,paket_internet_icon_256,10_icon_256/paket_internet_icon_256.png,10_icon_256/paket_internet_icon_256.webp,,,,,256,256
04_layanan_tiles,lainnya_tile,04_layanan_tiles/lainnya_tile.png,04_layanan_tiles/lainnya_tile.webp,750,921,880,1053,130,132
05_layanan_icons,lainnya_icon,05_layanan_icons/lainnya_icon.png,05_layanan_icons/lainnya_icon.webp,779,938,850,1008,71,70
10_icon_256,lainnya_icon_256,10_icon_256/lainnya_icon_256.png,10_icon_256/lainnya_icon_256.webp,,,,,256,256
06_aktivitas,aktivitas_card_full,06_aktivitas/aktivitas_card_full.png,06_aktivitas/aktivitas_card_full.webp,38,1086,893,1375,855,289
06_aktivitas,aktivitas_header,06_aktivitas/aktivitas_header.png,06_aktivitas/aktivitas_header.webp,61,1098,884,1144,823,46
06_aktivitas,aktivitas_token_pln,06_aktivitas/aktivitas_token_pln.png,06_aktivitas/aktivitas_token_pln.webp,63,1148,875,1219,812,71
06_aktivitas,aktivitas_pulsa_telkomsel,06_aktivitas/aktivitas_pulsa_telkomsel.png,06_aktivitas/aktivitas_pulsa_telkomsel.webp,63,1219,875,1289,812,70
06_aktivitas,aktivitas_tagihan_pdam,06_aktivitas/aktivitas_tagihan_pdam.png,06_aktivitas/aktivitas_tagihan_pdam.webp,63,1289,875,1361,812,72
06_aktivitas,aktivitas_icon_token,06_aktivitas/aktivitas_icon_token.png,06_aktivitas/aktivitas_icon_token.webp,66,1154,132,1213,66,59
06_aktivitas,aktivitas_icon_pulsa,06_aktivitas/aktivitas_icon_pulsa.png,06_aktivitas/aktivitas_icon_pulsa.webp,66,1227,132,1283,66,56
06_aktivitas,aktivitas_icon_tagihan,06_aktivitas/aktivitas_icon_tagihan.png,06_aktivitas/aktivitas_icon_tagihan.webp,66,1299,132,1356,66,57
06_aktivitas,badge_berhasil_1,06_aktivitas/badge_berhasil_1.png,06_aktivitas/badge_berhasil_1.webp,761,1156,866,1209,105,53
06_aktivitas,badge_berhasil_2,06_aktivitas/badge_berhasil_2.png,06_aktivitas/badge_berhasil_2.webp,761,1228,866,1280,105,52
06_aktivitas,badge_berhasil_3,06_aktivitas/badge_berhasil_3.png,06_aktivitas/badge_berhasil_3.webp,761,1301,866,1354,105,53
10_icon_256,aktivitas_icon_token_256,10_icon_256/aktivitas_icon_token_256.png,10_icon_256/aktivitas_icon_token_256.webp,,,,,256,256
10_icon_256,aktivitas_icon_pulsa_256,10_icon_256/aktivitas_icon_pulsa_256.png,10_icon_256/aktivitas_icon_pulsa_256.webp,,,,,256,256
10_icon_256,aktivitas_icon_tagihan_256,10_icon_256/aktivitas_icon_tagihan_256.png,10_icon_256/aktivitas_icon_tagihan_256.webp,,,,,256,256
07_promo,promo_banner_full,07_promo/promo_banner_full.png,07_promo/promo_banner_full.webp,38,1390,893,1526,855,136
07_promo,promo_label_mingguan,07_promo/promo_label_mingguan.png,07_promo/promo_label_mingguan.webp,64,1400,224,1438,160,38
07_promo,promo_teks_utama,07_promo/promo_teks_utama.png,07_promo/promo_teks_utama.webp,64,1439,473,1511,409,72
07_promo,promo_ilustrasi_hp,07_promo/promo_ilustrasi_hp.png,07_promo/promo_ilustrasi_hp.webp,437,1395,626,1525,189,130
07_promo,promo_catatan_tangan,07_promo/promo_catatan_tangan.png,07_promo/promo_catatan_tangan.webp,735,1414,875,1493,140,79
07_promo,promo_tombol,07_promo/promo_tombol.png,07_promo/promo_tombol.webp,591,1456,721,1511,130,55
08_navigasi,navigasi_full,08_navigasi/navigasi_full.png,08_navigasi/navigasi_full.webp,0,1541,941,1672,941,131
08_navigasi,nav_beranda,08_navigasi/nav_beranda.png,08_navigasi/nav_beranda.webp,73,1554,197,1651,124,97
08_navigasi,nav_riwayat,08_navigasi/nav_riwayat.png,08_navigasi/nav_riwayat.webp,304,1554,431,1651,127,97
08_navigasi,nav_saldo,08_navigasi/nav_saldo.png,08_navigasi/nav_saldo.webp,535,1554,655,1651,120,97
08_navigasi,nav_akun,08_navigasi/nav_akun.png,08_navigasi/nav_akun.webp,771,1554,870,1651,99,97
08_navigasi,nav_icon_beranda,08_navigasi/nav_icon_beranda.png,08_navigasi/nav_icon_beranda.webp,102,1560,157,1612,55,52
08_navigasi,nav_icon_riwayat,08_navigasi/nav_icon_riwayat.png,08_navigasi/nav_icon_riwayat.webp,335,1560,388,1612,53,52
08_navigasi,nav_icon_saldo,08_navigasi/nav_icon_saldo.png,08_navigasi/nav_icon_saldo.webp,566,1560,620,1612,54,52
08_navigasi,nav_icon_akun,08_navigasi/nav_icon_akun.png,08_navigasi/nav_icon_akun.webp,789,1560,842,1612,53,52
08_navigasi_transparan,nav_icon_beranda_transparan,08_navigasi_transparan/nav_icon_beranda_transparan.png,08_navigasi_transparan/nav_icon_beranda_transparan.webp,102,1560,157,1612,55,52
10_icon_256,nav_icon_beranda_256,10_icon_256/nav_icon_beranda_256.png,10_icon_256/nav_icon_beranda_256.webp,,,,,256,256
08_navigasi_transparan,nav_icon_riwayat_transparan,08_navigasi_transparan/nav_icon_riwayat_transparan.png,08_navigasi_transparan/nav_icon_riwayat_transparan.webp,335,1560,388,1612,53,52
10_icon_256,nav_icon_riwayat_256,10_icon_256/nav_icon_riwayat_256.png,10_icon_256/nav_icon_riwayat_256.webp,,,,,256,256
08_navigasi_transparan,nav_icon_saldo_transparan,08_navigasi_transparan/nav_icon_saldo_transparan.png,08_navigasi_transparan/nav_icon_saldo_transparan.webp,566,1560,620,1612,54,52
10_icon_256,nav_icon_saldo_256,10_icon_256/nav_icon_saldo_256.png,10_icon_256/nav_icon_saldo_256.webp,,,,,256,256
08_navigasi_transparan,nav_icon_akun_transparan,08_navigasi_transparan/nav_icon_akun_transparan.png,08_navigasi_transparan/nav_icon_akun_transparan.webp,789,1560,842,1612,53,52
10_icon_256,nav_icon_akun_256,10_icon_256/nav_icon_akun_256.png,10_icon_256/nav_icon_akun_256.webp,,,,,256,256
09_section_blocks,header_dan_saldo,09_section_blocks/header_dan_saldo.png,09_section_blocks/header_dan_saldo.webp,0,0,941,447,941,447
09_section_blocks,saldo_aksi_banner,09_section_blocks/saldo_aksi_banner.png,09_section_blocks/saldo_aksi_banner.webp,37,258,893,837,856,579
09_section_blocks,layanan_dan_aktivitas,09_section_blocks/layanan_dan_aktivitas.png,09_section_blocks/layanan_dan_aktivitas.webp,37,856,894,1375,857,519
09_section_blocks,aktivitas_promo_navigasi,09_section_blocks/aktivitas_promo_navigasi.png,09_section_blocks/aktivitas_promo_navigasi.webp,37,1086,941,1672,904,586
